time_iso8601,stars_cumulative
2020-08-14 00:00:00+00:00,2056
2020-08-16 00:00:00+00:00,2058
2020-08-17 00:00:00+00:00,2063
2020-08-18 00:00:00+00:00,2064
2020-08-19 00:00:00+00:00,2065
2020-08-21 00:00:00+00:00,2069
2020-08-22 00:00:00+00:00,2071
2020-08-24 00:00:00+00:00,2099
2020-08-25 00:00:00+00:00,2120
2020-08-26 00:00:00+00:00,2132
2020-08-27 00:00:00+00:00,2139
2020-08-28 00:00:00+00:00,2141
2020-08-29 00:00:00+00:00,2143
2020-08-31 00:00:00+00:00,2150
2020-09-01 00:00:00+00:00,2157
2020-09-02 00:00:00+00:00,2162
2020-09-03 00:00:00+00:00,2163
2020-09-05 00:00:00+00:00,2164
2020-09-06 00:00:00+00:00,2165
2020-09-07 00:00:00+00:00,2168
2020-09-08 00:00:00+00:00,2170
2020-09-11 00:00:00+00:00,2171
2020-09-12 00:00:00+00:00,2172
2020-09-13 00:00:00+00:00,2173
2020-09-14 00:00:00+00:00,2175
2020-09-15 00:00:00+00:00,2178
2020-09-16 00:00:00+00:00,2180
2020-09-17 00:00:00+00:00,2182
2020-09-18 00:00:00+00:00,2184
2020-09-19 00:00:00+00:00,2187
2020-09-21 00:00:00+00:00,2188
2020-09-22 00:00:00+00:00,2189
2020-09-23 00:00:00+00:00,2191
2020-09-24 00:00:00+00:00,2196
2020-09-25 00:00:00+00:00,2204
2020-09-26 00:00:00+00:00,2207
2020-09-27 00:00:00+00:00,2212
2020-09-28 00:00:00+00:00,2213
2020-09-29 00:00:00+00:00,2215
2020-09-30 00:00:00+00:00,2228
2020-10-01 00:00:00+00:00,2229
2020-10-03 00:00:00+00:00,2230
2020-10-08 00:00:00+00:00,2231
2020-10-09 00:00:00+00:00,2235
2020-10-10 00:00:00+00:00,2237
2020-10-11 00:00:00+00:00,2238
2020-10-12 00:00:00+00:00,2240
2020-10-13 00:00:00+00:00,2241
2020-10-14 00:00:00+00:00,2243
2020-10-15 00:00:00+00:00,2245
2020-10-16 00:00:00+00:00,2246
2020-10-18 00:00:00+00:00,2247
2020-10-19 00:00:00+00:00,2249
2020-10-20 00:00:00+00:00,2250
2020-10-21 00:00:00+00:00,2252
2020-10-22 00:00:00+00:00,2253
2020-10-23 00:00:00+00:00,2254
2020-10-26 00:00:00+00:00,2255
2020-10-29 00:00:00+00:00,2256
2020-10-30 00:00:00+00:00,2258
2020-10-31 00:00:00+00:00,2259
2020-11-01 00:00:00+00:00,2260
2020-11-02 00:00:00+00:00,2262
2020-11-03 00:00:00+00:00,2266
2020-11-04 00:00:00+00:00,2270
2020-11-05 00:00:00+00:00,2273
2020-11-07 00:00:00+00:00,2274
2020-11-08 00:00:00+00:00,2275
2020-11-09 00:00:00+00:00,2277
2020-11-10 00:00:00+00:00,2280
2020-11-12 00:00:00+00:00,2282
2020-11-13 00:00:00+00:00,2286
2020-11-16 00:00:00+00:00,2287
2020-11-19 00:00:00+00:00,2288
2020-11-20 00:00:00+00:00,2290
2020-11-21 00:00:00+00:00,2291
2020-11-23 00:00:00+00:00,2293
2020-11-25 00:00:00+00:00,2294
2020-11-26 00:00:00+00:00,2299
2020-11-27 00:00:00+00:00,2301
2020-11-30 00:00:00+00:00,2304
2020-12-02 00:00:00+00:00,2307
2020-12-03 00:00:00+00:00,2308
2020-12-04 00:00:00+00:00,2313
2020-12-05 00:00:00+00:00,2314
2020-12-06 00:00:00+00:00,2316
2020-12-07 00:00:00+00:00,2317
2020-12-08 00:00:00+00:00,2318
2020-12-09 00:00:00+00:00,2321
2020-12-10 00:00:00+00:00,2323
2020-12-12 00:00:00+00:00,2324
2020-12-13 00:00:00+00:00,2325
2020-12-14 00:00:00+00:00,2327
2020-12-15 00:00:00+00:00,2329
2020-12-17 00:00:00+00:00,2332
2020-12-21 00:00:00+00:00,2333
2020-12-22 00:00:00+00:00,2335
2020-12-24 00:00:00+00:00,2337
2020-12-27 00:00:00+00:00,2338
2020-12-28 00:00:00+00:00,2339
2020-12-30 00:00:00+00:00,2340
2020-12-31 00:00:00+00:00,2343
2021-01-01 00:00:00+00:00,2344
2021-01-04 00:00:00+00:00,2348
2021-01-08 00:00:00+00:00,2350
2021-01-09 00:00:00+00:00,2352
2021-01-11 00:00:00+00:00,2354
2021-01-13 00:00:00+00:00,2355
2021-01-14 00:00:00+00:00,2356
2021-01-15 00:00:00+00:00,2358
2021-01-16 00:00:00+00:00,2359
2021-01-17 00:00:00+00:00,2360
2021-01-18 00:00:00+00:00,2361
2021-01-19 00:00:00+00:00,2362
2021-01-20 00:00:00+00:00,2363
2021-01-21 00:00:00+00:00,2365
2021-01-23 00:00:00+00:00,2367
2021-01-24 00:00:00+00:00,2368
2021-01-25 00:00:00+00:00,2369
2021-01-26 00:00:00+00:00,2370
2021-01-27 00:00:00+00:00,2371
2021-01-28 00:00:00+00:00,2372
2021-01-29 00:00:00+00:00,2373
2021-02-01 00:00:00+00:00,2375
2021-02-02 00:00:00+00:00,2378
2021-02-03 00:00:00+00:00,2379
2021-02-04 00:00:00+00:00,2380
2021-02-05 00:00:00+00:00,2381
2021-02-06 00:00:00+00:00,2382
2021-02-09 00:00:00+00:00,2383
2021-02-11 00:00:00+00:00,2384
2021-02-12 00:00:00+00:00,2385
2021-02-19 00:00:00+00:00,2387
2021-02-22 00:00:00+00:00,2390
2021-02-23 00:00:00+00:00,2392
2021-02-24 00:00:00+00:00,2393
2021-02-25 00:00:00+00:00,2397
2021-02-26 00:00:00+00:00,2399
2021-02-27 00:00:00+00:00,2400
2021-03-01 00:00:00+00:00,2404
2021-03-02 00:00:00+00:00,2406
2021-03-03 00:00:00+00:00,2535
2021-03-04 00:00:00+00:00,2616
2021-03-05 00:00:00+00:00,2636
2021-03-06 00:00:00+00:00,2644
2021-03-07 00:00:00+00:00,2650
2021-03-08 00:00:00+00:00,2659
2021-03-09 00:00:00+00:00,2667
2021-03-10 00:00:00+00:00,2675
2021-03-11 00:00:00+00:00,2677
2021-03-12 00:00:00+00:00,2680
2021-03-13 00:00:00+00:00,2682
2021-03-15 00:00:00+00:00,2686
2021-03-16 00:00:00+00:00,2691
2021-03-17 00:00:00+00:00,2697
2021-03-18 00:00:00+00:00,2703
2021-03-19 00:00:00+00:00,2704
2021-03-21 00:00:00+00:00,2705
2021-03-22 00:00:00+00:00,2708
2021-03-23 00:00:00+00:00,2712
2021-03-24 00:00:00+00:00,2714
2021-03-25 00:00:00+00:00,2716
2021-03-26 00:00:00+00:00,2718
2021-03-28 00:00:00+00:00,2719
2021-03-29 00:00:00+00:00,2720
2021-03-30 00:00:00+00:00,2723
2021-03-31 00:00:00+00:00,2782
2021-04-01 00:00:00+00:00,2818
2021-04-02 00:00:00+00:00,2828
2021-04-03 00:00:00+00:00,2830
2021-04-04 00:00:00+00:00,2835
2021-04-05 00:00:00+00:00,2837
2021-04-06 00:00:00+00:00,2854
2021-04-07 00:00:00+00:00,2864
2021-04-08 00:00:00+00:00,2884
